,name,district,lat,lng
0,اراج,1,35.794309337615026,51.48757607936931
1,ازگل,1,35.78878551247738,51.5158194610263
2,امام زاده قاسم,1,35.81290709362546,51.43946966832034
3,اوین,1,35.79951517748166,51.39383591214459
4,باغ فردوس,1,35.79495480217319,51.42357591115577
5,تجریش,1,35.79216875901684,51.43064601133605
6,جماران,1,35.81913374686065,51.459670758964485
7,جوزستان,1,35.808609118228325,51.454250871101564
8,چیذر,1,35.798420949504305,51.455546748197946
9,حصار بوعلی,1,35.80537594048429,51.46771468188276
10,حکمت-دزاشیب,1,35.80083042035153,51.44279360200769
11,دارآباد,1,35.81110718733487,51.49063976883854
12,دربند,1,35.81459139799566,51.42542665017908
13,درکه,1,35.80292609316913,51.385936659549984
14,رستم اباد,1,35.79603394234656,51.471854606977246
15,زعفرانیه,1,35.80900105242035,51.41461791220225
16,سوهانک,1,35.80182577278727,51.533847164168066
17,شهرک گلها,1,35.80465466968404,51.49798647500474
18,شهرک محلاتی,1,35.805017548825155,51.51630208346983
19,شهرک نفت,1,35.809219341518954,51.50550939608563
20,قیطریه,1,35.7905011056507,51.44355108905201
21,کاشانک,1,35.80995641841892,51.47938916135917
22,گلاب دره,1,35.819945388087866,51.44046470149364
23,محمودیه,1,35.795857448865235,51.41271980374878
24,نیاوران,1,35.81803558532826,51.469467964366885
25,ولنجک,1,35.80562166636458,51.40113727724625
26,اسلام آباد (شهرک نیایش),2,35.76874642806923,51.38723957926055
27,ایوانک,2,35.75682669210656,51.3543058451494
28,آسمان,2,35.77775193392562,51.349250450619174
29,آلستوم,2,35.7247335033027,51.35777730110245
30,پردیسان,2,35.745043810717306,51.3559818863709
31,پرواز شرقی,2,35.790769733841884,51.35120138921224
32,پونک,2,35.75949239117903,51.33873101326139
33,تهران ویلا,2,35.72264201122097,51.36653409091079
34,توحید,2,35.70476214076676,51.37202257181385
35,تیموری,2,35.70621682578227,51.35157736148536
36,چوب تراش,2,35.715202986680715,51.343719959594736
37,خرم رودی,2,35.7321716186123,51.34498720162592
38,درختی,2,35.768759588422334,51.35354088542578
39,دریا,2,35.77376515339458,51.37088586440231
40,زنجان,2,35.70333874218216,51.357450516136694
41,سعادت آباد,2,35.78603583919233,51.37824062000207
42,شادمهر,2,35.70906963302302,51.36350802910884
43,شهرآرا,2,35.71829553313643,51.37397870441938
44,شهرک آزمایش,2,35.73403064802633,51.35856919678947
45,شهرک بوعلی,2,35.79446097114125,51.36680361921639
46,شهرک غرب,2,35.75861377065278,51.373908308474014
47,شهرک مخابرات,2,35.79367120779558,51.35836536843237
48,شهرک هما,2,35.73967015529198,51.33759744402387
49,صادقیه,2,35.72205096158328,51.342349195139185
50,طرشت,2,35.70665630367224,51.34292018852987
51,فرحزاد,2,35.78805601277461,51.343602087717485
52,کوهسار,2,35.79746534558102,51.37837938970887
53,کوی نصر,2,35.738627282646696,51.37736573693134
54,مدیریت,2,35.77614674860576,51.38235279241805
55,همایون شهر,2,35.71609596861023,51.356297099668964
56,ونک,3,35.76457614233618,51.391967654699016
57,آرارات,3,35.77491118199341,51.400018421964326
58,کاووسیه,3,35.762200839321146,51.41214147657323
59,امانیه,3,35.78059979994522,51.415783751328966
60,اراضی عباس آباد,3,35.74988079026399,51.429104697654985
61,سیدخندان,3,35.746627275739165,51.443092078769034
62,داوودیه,3,35.75973870096483,51.435654588925495
63,حسن اباد- زرگنده,3,35.77197000184265,51.432891234894925
64,قبا,3,35.76132265796697,51.44906727195956
65,قلهک,3,35.773827942256865,51.44458868897197
66,درب دوم,3,35.781107729590474,51.441761236527405
67,دروس,3,35.77367803190967,51.45641583886176
68,رستم آباد- اختیاریه,3,35.786381767254326,51.460514740329245
69,مهران,4,35.74865934932096,51.45695114617706
70,پاسداران- ضرابخانه,4,35.77268137636419,51.46810192750489
71,حسین آباد- مبارک آباد,4,35.77026795561679,51.47922944243034
72,کاظم آباد,4,35.75010963277921,51.46894485187082
73,لویزان شیان,4,35.77666363062891,51.500090106754726
74,شمیران نو,4,35.758376715321475,51.49885533264796
75,کالاد,4,35.74081292968399,51.4878793481554
76,شمس آباد,4,35.747362065430146,51.478134092843746
77,قاسم آباد,4,35.767323233225476,51.52358860100238
78,اوقاف,4,35.75000602395039,51.51202032255701
79,علم و صنعت,4,35.741738429052376,51.50948806396381
80,نارمک,4,35.736376656472096,51.50461923791714
81,قنات کوثر,4,35.762957443959316,51.533668617692044
82,مجید آباد,4,35.76159491979212,51.54486359902291
83,کوهسار,4,35.755368165910525,51.56351904094975
84,تهرانپارس شرقی,4,35.740961154614475,51.54711196494053
85,جوادیه,4,35.73193637283565,51.548793773364615
86,گلشن,4,35.74214311888641,51.5628488393063
87,حکیمیه,4,35.73443496638572,51.57856215257475
88,تهرانپارس غربی,4,35.742476653904845,51.53105688397672
89,آپادانا,5,35.70679519820408,51.32858144956127
90,بیمه,5,35.705442541301025,51.31851587154569
91,اکباتان,5,35.70822198091541,51.304049921255505
92,فردوس,5,35.7209058031324,51.32137629223686
93,ابوذر,5,35.730822269434334,51.33051696130718
94,مهران,5,35.732564597186496,51.32029129537425
95,باغ فیض,5,35.74473148024689,51.322490506717074
96,پونک جنوبی,5,35.75708912834175,51.32527408384784
97,پونک شمالی,5,35.765923663781905,51.32844132176594
98,المهدی,5,35.77404683293053,51.32829427042097
99,سازمان برنامه شمالی,5,35.73661834591632,51.301072770583666
100,شهرک پرواز,5,35.72483693574549,51.30630780819569
101,سازمان جنوبی,5,35.72632741927653,51.29979984380982
102,شاهین شمالی,5,35.76169263157715,51.314704090012896
103,جنت اباد مرکز,5,35.75896684342569,51.303802495487446
104,جنت آباد شمالی,5,35.77211118744431,51.30835296688343
105,ارم,5,35.729066601770526,51.28662994927778
106,سازما آب,5,35.739592188338605,51.28994156864582
107,شهرزیبا,5,35.748655941079186,51.29186993276809
108,شهران جنوبی,5,35.75862537449434,51.29078104466156
109,اندیشه,5,35.747132746795764,51.27746522354209
110,کن,5,35.75834949911729,51.27835831379349
111,بهاران,5,35.76879166228582,51.27103007915906
112,شهران شمالی,5,35.77131374379687,51.2897657635813
113,شهرک نفت,5,35.78894022345802,51.338257010206156
114,شهرک کوهسار,5,35.781838925915956,51.332826639768086
115,مرادآباد,5,35.7833737411076,51.326019513083644
116,حصارک,5,35.7826124190804,51.31089846001996
117,جنت آباد جنوبی,5,35.74584210268265,51.30588922989602
118,ایرانشهر,6,35.708585671793884,51.4219454656182
119,آرزانتین-ساعی,6,35.73484929298279,51.415832965188315
120,بهجت آباد,6,35.719040196343755,51.41212837559721
121,پارک لاله,6,35.713637475224154,51.3991217384876
122,دانشگاه تهران,6,35.70539891993573,51.39901330702847
123,شریعتی,6,35.71765961072015,51.38331309214252
124,سنایی,6,35.7215229046,51.4208575597424
125,شیراز,6,35.74719945744466,51.40330144334484
126,فاطمی,6,35.71994207911912,51.39457659460514
127,قزل قلعه,6,35.72866923335717,51.39444631447013
128,کشاورز غربی,6,35.709396877460875,51.38426428399729
129,گاندی,6,35.74590073809345,51.4161284500063
130,میدان جهاد,6,35.72375043634744,51.40573670879944
131,میدان ولیعصر,6,35.707319593850556,51.41249580467425
132,نصرت,6,35.70355864098158,51.384732222247344
133,یوسف آباد,6,35.734881145333084,51.405726555331604
134,نیلوفر- شهید قندی,7,35.73617437022334,51.43409369495973
135,عباس آباد- اندیشه,7,35.72768639596822,51.4346047183677
136,باغ صبا- سهروردی,7,35.720908736039284,51.434753154703934
137,امجدیه- خاقانی,7,35.71131042680632,51.428270900193034
138,بهار,7,35.710728460172945,51.433298003114615
139,خواجه نصیر- حقوقی,7,35.703961854470535,51.43783739830511
140,کاج,7,35.714194112861186,51.442099276290904
141,خواجه نظام غربی,7,35.714739804355965,51.447172369495185
142,خواجه نظام شرقی,7,35.71253637721073,51.44915975049612
143,گرگان,7,35.707981885932654,51.44916827850544
144,نظام آباد,7,35.705876363846464,51.45282268068332
145,شارق غربی,7,35.709234976426444,51.45954240504029
146,شارق شرقی,7,35.71213615556088,51.464889830518594
